Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
FOURNIL DE LA ROSSIGNOLIERE;Pain / Pâtisserie;;;;;;;LIGNIERES-ORGERES;;53133;48.53938;-0.22377;;06 04 11 86 32;02 43 03 27 20;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.53938,-0.22377;Mayenne
FERME DU HOUASLET;Fromage et produit laitier;;;;;72240;;CONLIE;;72089;48.1211017;-0.0183597;;;02 43 29 69 74;;anitathierry277@orange.fr;;;;;;Agro-alimentaire;;;;;;;;Français;;;;;;;;;;;;;;;;non;||||De mars à octobre sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Corbillon||02 43 29 69 74||;;;;;;48.1211017,-0.0183597;Sarthe
FERME DU BUISSON - HUILE DE COLZA ET TOURNESOL;Huile;;;;;72600;;SAINT-REMY-DES-MONTS;;72316;48.3071807;0.40154789;;06 75 39 93 62;02 43 33 55 80;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.3071807,0.40154789;Sarthe
HÂVRE DES SENS;Cosmétique;;;;20 La Rousselière;44521;;OUDON;;44115;47.3574308;-1.2871943;;06 30 04 19 06;;;contact@havre-des-sens.fr;http://www.havre-des-sens.fr;;;"Facebook||https://www.facebook.com/HavredesSens?fref=ts;Instagram||https://www.instagram.com/havredessens/";;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Espèces";47.3574308,-1.2871943;Loire-Atlantique
LE FIL D'AURE;Textile / Habillement / Chaussure;;;;ANETZ;44150;;VAIR-SUR-LOIRE;;44163;47.3936223;-1.0816695;;06 52 56 68 00;;;contact@lefildaure.fr;http://www.lefildaure.fr;;;"Facebook||https://www.facebook.com/lefildauriane/;Instagram||https://www.instagram.com/le_fil_daure/";;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;Partenariat||DEGPDL044V50S5WK;oui;;;;;;;Cartes bancaires;47.3936223,-1.0816695;Loire-Atlantique
LES DELICES DE BEAUREGARD;"Confiture;Produits cidricoles / Jus de fruit;Rillettes;Viande;Volailles / Oeufs";;;;Beauregard;72350;;BRULON;;72050;47.969777;-0.225656;;06 98 82 31 61;02 43 95 69 95;;;http://www.jardinbeauregard.com;;;"Facebook||https://www.facebook.com/lesdelicesdebeauregard;Instagram||https://www.instagram.com/lesdelicesdebeauregard/";;Agro-alimentaire;Bienvenue à la Ferme;;;;;;;Français;;;;;;2 h;;oui;;;;oui;;;;;01/01/2022||31/12/2022||||||11:00||12:30||||||11:00||12:30||||||||||||||11:00||12:30||||||11:00||12:30||||||||||||||||||||;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.969777,-0.225656;Sarthe
PRODUCTEUR M. ROMPILLON;Volailles / Oeufs;;;;Brault;49250;;LOIRE-AUTHION;;49307;47.428659;-0.304963;;;02 41 57 30 82;;rompillon.loic@wanadoo.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.428659,-0.304963;Maine-et-Loire
LES VERGERS DE LA CHENILLÈRE;Fruits / légumes;;;;La Chenillère - SAINT MACAIRE EN MAUGES;49450;;SEVREMOINE;;49301;47.1291853;-0.9843452;;;02 41 55 13 67;;richard.audusseau@orange.fr;https://www.vergersdelachenillere.com;;;Facebook||https://www.facebook.com/vergersdelachenillere/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.1291853,-0.9843452;Maine-et-Loire
FLASH FRUITS - VERGER DE LA COCHETIÈRE;Fruits / légumes;;;;La Cochetière, Champigné;49330;;LES HAUTS-D'ANJOU;;49080;47.6797881;-0.5612668;;;02 41 96 15 70;;esarazin@flashfruits.fr;http://mille-fruits.fr/;;;Facebook||https://www.facebook.com/millefruits/;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.6797881,-0.5612668;Maine-et-Loire
ENTREPRISE DE MARAICHAGE POUSSE QUI PEUT;"Fruits / légumes;Plantes et fleurs";;;;La Ferrière;53270;;TORCE-VIVIERS-EN-CHARNIE;;53265;48.096835;-0.283661;;06 65 45 96 59;;;;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;"Anglais;Espagnol;Français";;;;oui;;;;;;;;;;;;oui;03/01/2022||31/12/2022||Sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";48.096835,-0.283661;Mayenne
JACQUES BODINEAU - ÉLEVEUR BOVIN (AGRICULTURE BIOLOGIQUE);Viande;;;;La Galotiniere - LIRE;49530;;OREE D'ANJOU;;49069;47.315743;-1.171531;;06 72 05 96 85;;;;;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.315743,-1.171531;Maine-et-Loire
