Nom de la fête ou manifestation;Catégorie de la fête ou manifestation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de la fête ou manifestation;Bureau distributeur de l'adresse postale;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'accès/Nom/distance en km;N° de téléphone fixe;N° de téléphone mobile;N° de fax;localisation;departement
49ÈME FESTIVAL DES NUITS DE LA MAYENNE;Festival;;Cour du château;;;53270;SAINTE-SUZANNE-ET-CHAMMES;;;53255;48.096699;-0.354074;;02 43 67 60 90;;;48.096699,-0.354074;Mayenne
CHEVAL ET MÉDITATION DE PLEINE CONSCIENCE;;;;;;44250;SAINT-BREVIN-LES-PINS;;;44154;47.245513;-2.167894;;;06 47 01 08 09;;47.245513,-2.167894;Loire-Atlantique
CONCOURS DE PEINTURES COULEURS DE BRETAGNE;Stages-Atelier-Jeux;;;Salle Méniscoul et bourg de Piriac/Mer;;44420;PIRIAC-SUR-MER;;;44125;47.379696;-2.546722;;02 40 23 51 42;;;47.379696,-2.546722;Loire-Atlantique
DUO ORGUE ET BOMBARDE;Concert;;;Église Notre Dame de bons secours;;44760;LA BERNERIE-EN-RETZ;;;44012;47.081132;-2.038009;;02 40 82 28 06;;;47.081132,-2.038009;Loire-Atlantique
DÉAMBULATION - LA FANFARE  BIGUIZI »;;;;Centre Ville;;44760;LA BERNERIE-EN-RETZ;;;44012;47.081132;-2.038009;;02 40 82 70 56;;02 40 64 79 58;47.081132,-2.038009;Loire-Atlantique
ENQUETE HISTORIQUE A SAINT-MICHEL CHEF-CHEF;Stages-Atelier-Jeux;;;;;44730;SAINT-MICHEL-CHEF-CHEF;;;44182;47.180467;-2.149204;;02 40 27 82 54;;;47.180467,-2.149204;Loire-Atlantique
FAITES DU SPORT;Manifestation sportive;;;Salle Omnisports et Plan d'Eau;;44760;LA BERNERIE-EN-RETZ;;;44012;47.081132;-2.038009;;02 40 82 70 56;;02 40 64 79 58;47.081132,-2.038009;Loire-Atlantique
INITIATION À LA PÊCHE À PIED;Sortie nature / environnement;;;Communiqué à la réservation;;44510;LE POULIGUEN;;;44135;47.276372;-2.431336;;;;;47.276372,-2.431336;Loire-Atlantique
JAM SESSION BŒUF MUSICAL;;;;50 avenue de Bretagne;;44420;MESQUER;;;44097;47.398613;-2.460854;;06 11 84 98 41;;;47.398613,-2.460854;Loire-Atlantique
JOURNÉE DU PATRIMOINE MEULIERS;Visites et sorties à thèmes;;Site du Moulin neuf.;81 Rue Anne de Bretagne;;44360;VIGNEUX-DE-BRETAGNE;;;44217;47.325433;-1.73873;;02 40 57 14 51;;;47.325433,-1.73873;Loire-Atlantique
L'INVITATION;Spectacle;;;Palais des congrès Atlantia;119 avenue de Lattre de Tassigny;44500;LA BAULE-ESCOUBLAC;;;44055;47.285185;-2.392391;;02 40 11 51 51;;;47.285185,-2.392391;Loire-Atlantique
LA GRANDE CÔTE, PAYSAGE SOUS INFLUENCE;Sortie nature / environnement;;;Côte sauvage;;44510;LE POULIGUEN;;;44135;47.276372;-2.431336;;02 40 45 35 96;;;47.276372,-2.431336;Loire-Atlantique
LA SOIRÉE DES PETITES SURPRISES THÉÂTRALES;Spectacle;;Pôle Culturel des Coëvrons;Boulevard Maréchal Juin;;53600;EVRON;;;53097;48.154954;-0.402774;;02 43 01 94 76;;;48.154954,-0.402774;Mayenne
LE RENDEZ-VOUS DE L'HÊTRE / EXPOSITION PHOTOGRAPHIQUE;Exposition;;;Sur le littoral des 2 communes;;44770;PREFAILLES;;;44136;47.12828;-2.21613;;02 40 21 60 37;;;47.12828,-2.21613;Loire-Atlantique
LES ALGUES, NOUVELLES SAVEURS MARINES;Visites et sorties à thèmes;;;;;44770;LA PLAINE-SUR-MER;;;44126;47.137401;-2.190495;;02 40 21 52 52;;;47.137401,-2.190495;Loire-Atlantique
PALOURDES ET COMPAGNIE;Visites et sorties à thèmes;;;;;44760;LA BERNERIE-EN-RETZ;;;44012;47.081132;-2.038009;;02 40 82 70 99;;;47.081132,-2.038009;Loire-Atlantique
REUNION PUBLIQUE & CONFERENCE SUR L' ABC;Conférence;;;Salle Gonzague de la Brosse;;44680;SAINTE-PAZANNE;;;44186;47.102143;-1.811466;;02 40 02 43 74;;;47.102143,-1.811466;Loire-Atlantique
SOIRÉE AU JARDIN;Sortie nature / environnement;;;;;44500;LA BAULE-ESCOUBLAC;;;44055;47.285185;-2.392391;;02 40 45 35 96;;;47.285185,-2.392391;Loire-Atlantique
SORTIE NATURE PLANTES MÉDICINALES DU BORD DE L'EAU;Visites et sorties à thèmes;;Jardin médiéval;;;53270;SAINTE-SUZANNE-ET-CHAMMES;;;53255;48.096699;-0.354074;;02 43 59 96 70;;;48.096699,-0.354074;Mayenne
VISITE DÉCOUVERTE DU VILLAGE DE ST PIERRE-SUR-ORTHE;Visites et sorties à thèmes;;Rdv devant l'église;;Commune déléguée de St Pierre-sur-Orthe;53160;VIMARTIN-SUR-ORTHE;;;53249;48.210621;-0.207814;;02 43 58 13 06;;;48.210621,-0.207814;Mayenne
CONFÉRENCE NATURE : LA BIODIVERSITÉ DANS LES JARDINS, COMMENT LA PROTÉGER ?;Conférence;;Abbaye Royale de l'Epau;Route de Changé;;72530;YVRE L'EVEQUE;;;72181;47.9839581;0.2506153;Transport en commun||||,Route (nationale/départ.)||||,Autoroute||||,Gare SNCF||||;02 43 84 22 29;;;47.9839581,0.2506153;Sarthe
RENCONTRES-MÉTIERS DE L’ANIMAL ET DE LA NATURE AU BIOPARC;Conférence;;;103 rue de Cholet;Doué-la-Fontaine;49700;DOUE EN ANJOU;;;49125;47.1905599;-0.2994419;;02 41 59 18 58;;;47.1905599,-0.2994419;Maine-et-Loire
SECRETS DE FABRIQUE(S) AU DOMAINE DE LA GARENNE LEMOT;Visites et sorties à thèmes;;;Avenue Xavier Rineau;;44190;GETIGNE;;;44063;47.0850995;-1.2757643;;02 40 54 75 85;;;47.0850995,-1.2757643;Loire-Atlantique
VÉLO SYMPA GUIDÉE;Visites et sorties à thèmes;;;Allée de la Rabine;;44270;MACHECOUL-SAINT-MEME;;;44087;46.98893;-1.81588;;02 51 93 03 40;;;46.98893,-1.81588;Loire-Atlantique
10 ÈME TOURNOI TAC TIK DE L'ENTENTE CHOLETAISE VOLLEY BALL;Stages-Atelier-Jeux;;;Salle de la Prairie;;49280;SAINT-LEGER-SOUS-CHOLET;;;49299;47.08937;-0.90667;;06 95 05 40 12;;;47.08937,-0.90667;Maine-et-Loire
24 HEURES DE LA BILLE;Fêtes populaires;Terrain de Loisirs;;;;72440;SAINT-MARS-DE-LOCQUENAY;;;72298;47.9231069;0.478968;;;06 82 28 06 27;;47.9231069,0.478968;Sarthe
24 HEURES VELO ŠKODA;Manifestation sportive;;Circuit Bugatti;9, place Luigi Chinetti;;72000;LE MANS;;;72181;47.9558189;0.20964527;;02 43 21 13 24;;;47.9558189,0.20964527;Sarthe
42ÈME FÊTE DES FLEURS;Fêtes populaires;;;Place du Prieure;SAINT-MACAIRE-EN-MAUGES;49450;SEVREMOINE;;;49301;47.1252338;-0.994741;;;;;47.1252338,-0.994741;Maine-et-Loire
82;Théâtre;;Théâtre de Chaoué;11 Rue du Moulin de Chaoué;;72700;ALLONNES;;;72003;47.97139;0.16571;;02 43 80 40 08;;;47.97139,0.16571;Sarthe
[ANNULÉ] CONSTANCE;Spectacle;;L'Oasis;1 Avenue du Parc des Expositions;;72100;LE MANS;;;72181;47.95973;0.20599;;;;;47.95973,0.20599;Sarthe
[REPORTÉ] MIRACULOUS - LADYBUG, LE SPECTACLE MUSICAL;Spectacle;;Antarès;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 - Terminus Antarès/MMArena||0,1;09 70 25 22 12;;;47.956751,0.226448;Sarthe
A MARÉE BASSE;Sortie nature / environnement;;;parking rue Garlahy;;44420;LA TURBALLE;;;44211;47.34922;-2.51374;;02 40 23 31 52;;;47.34922,-2.51374;Loire-Atlantique
ACTIVITES POUR LES 8 ANS ET + A LA BASE DE LOISIRS FRED CHOUVIER - JUILLET ET AOUT;Stages-Atelier-Jeux;;;;Plan d'eau;72350;BRULON;;;72050;47.9610555;-0.2229773;;06 77 89 49 18;;;47.9610555,-0.2229773;Sarthe
ALEX VIZOREK;Spectacle;;Palais des Congrès et de la Culture;Rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;48.0007657,0.19202859;Sarthe
ANIMATION DECOUVERTE DES POISSONS AVEC LA MAISON PÊCHE NATURE;Visites et sorties à thèmes;;Maison pêche nature;;Montayer;49320;BRISSAC LOIRE AUBANCE;;;49050;47.33226;-0.4504;;02 41 78 26 21;;;47.33226,-0.4504;Maine-et-Loire
ANIMATIONS CITROUILLES - ATELIERS ENFANT ET BALADE CONTÉE;Visites et sorties à thèmes;Les Jardins des Renaudies;;Les Mézerais;;53120;COLOMBIERS-DU-PLESSIS;;;53071;48.3751052;-0.8679588;Route (nationale/départ.)||C107||0,2;02 43 08 02 08;;;48.3751052,-0.8679588;Mayenne
ANIMATIONS POTS DE VIN A CLISSON;Foire ou salon;;;Halles;Rue des Halles;44190;CLISSON;;;44043;47.08719;-1.2821063;;;;;47.08719,-1.2821063;Loire-Atlantique
APÉRO-CONCERT AU DOMAINE DE TERREBRUNE;Concert;;Domaine de Terrebrune;843 Route de Vauchrétien;Lieu-dit La Motte;49380;TERRANJOU;;;49086;47.3136946;-0.4602744;;02 41 54 01 99;;;47.3136946,-0.4602744;Maine-et-Loire
ATELIER : ARBRE FANTASTIQUE;Stages-Atelier-Jeux;;Musée Robert Tatin;Lieu-dit La Frénouse;;53230;COSSE-LE-VIVIEN;;;53077;47.9333818;-0.8954235;;02 43 98 80 89;;;47.9333818,-0.8954235;Mayenne
ATELIER APPRENTI NATURALISTE : LES PETITES BÊTES À CAP LOIRE;Stages-Atelier-Jeux;;CAP LOIRE;20 Rue d'Anjou (Montjean-sur-Loire);MONTJEAN-SUR-LOIRE;49570;MAUGES-SUR-LOIRE;;;49244;47.3898383;-0.8639788;;02 41 39 07 10;;;47.3898383,-0.8639788;Maine-et-Loire
ATELIER AYURVÉDA ET ALIMENTATION À BAUGÉ;Stages-Atelier-Jeux;;;44 rue Victor Hugo;Baugé;49150;BAUGE-EN-ANJOU;;;49018;47.5416596;-0.104033;;;06 37 29 12 35;;47.5416596,-0.104033;Maine-et-Loire
ATELIER BONBONS, BISCUITS ET CONFISERIES DE NOËL AU JARDIN CAMIFOLIA;Stages-Atelier-Jeux;;Jardin Camifolia;1 Rue de l'Arzillé;CHEMILLE;49120;CHEMILLE-EN-ANJOU;;;49092;47.2138475;-0.7326129;Route (nationale/départ.)||Sortie n°25 (Chemillé) de l’A87	||5,Gare routière||Réseau Aléop Ligne 407 Angers  /Cholet||0,4,Gare SNCF||Angers Chemillé : 30 min	||0,2;02 41 49 84 98;;;47.2138475,-0.7326129;Maine-et-Loire
ATELIER CRÉATION D’UN BAUME ANTIMOUSTIQUES À BAUGÉ;Stages-Atelier-Jeux;;;44 rue Victor Hugo;Baugé;49150;BAUGE-EN-ANJOU;;;49018;47.5416596;-0.104033;;;06 37 29 12 35;;47.5416596,-0.104033;Maine-et-Loire
ATELIER CUISINE : UN CHEF À LA FERME ET LES LÉGUMES D'ÉTÉ!;Stages-Atelier-Jeux;Marché de La Guichardière;;;;72390;DOLLON;;;72118;48.0531612;0.54721908;;02 43 60 76 89;;;48.0531612,0.54721908;Sarthe
ATELIER CUISINE AU BEYEL : SAUCES POUR POISSON;Stages-Atelier-Jeux;;Le Beyel;Rue de Beausoleil;;53360;ORIGNE;;;53172;47.9527612;-0.7299211;;;06 88 56 92 88;;47.9527612,-0.7299211;Mayenne
ATELIER ENFANTS : FABRIQUE TON FLIPBOOK;Stages-Atelier-Jeux;;Dans le Parc du Château;Place de Bassum;;72130;FRESNAY-SUR-SARTHE;;;72138;48.2817462;0.01807794;;02 43 33 28 04;;;48.2817462,0.01807794;Sarthe
ATELIER HERBORISTERIE : ENTRE SERPES ET POTIONS - PAR NATURE ANCESTRALE;Stages-Atelier-Jeux;;Bonjour Bonsoir;Lieu-dit Le Petit Faîteau;;49170;SAINT-GEORGES-SUR-LOIRE;;;49283;47.4251322;-0.7642705;;;06 49 15 56 16;;47.4251322,-0.7642705;Maine-et-Loire
ATELIER INSTRUMENTARIUM;Stages-Atelier-Jeux;;Cloître des Ursulines;4 bis Rue Horeau;Château-Gontier;53200;CHATEAU-GONTIER-SUR-MAYENNE;;;53062;47.8289499;-0.6967128;;02 43 09 21 52;;;47.8289499,-0.6967128;Mayenne
ATELIER NOEUDS MARINS;Stages-Atelier-Jeux;;;Musée Maison de la Pêche;Port de La Turballe;44420;LA TURBALLE;;;44211;47.34693;-2.51391;;02 40 11 71 31;;;47.34693,-2.51391;Loire-Atlantique
ATELIER VINS BLANCS & FROMAGES À BORD DE LA TOUE DE NANTES;Visites et sorties à thèmes;;;La Grande Ragotière;;44330;LA REGRIPPIERE;;;44140;47.1742426;-1.2048835;;02 40 33 60 56;;;47.1742426,-1.2048835;Loire-Atlantique
ATELIER ZÉRO DÉCHET: RÉPARATION VÉLO ET ZONE DE GRATUITÉ À BAUGÉ;Stages-Atelier-Jeux;;Médiathèque;;Baugé;49150;BAUGE-EN-ANJOU;;;49018;47.5414;-0.10377;;02 41 84 12 18;;;47.5414,-0.10377;Maine-et-Loire
ATELIERS BONNE HUMEUR;Stages-Atelier-Jeux;;;5 l'Avaloué;;44410;ASSERAC;;;44006;47.46198;-2.4441;;06 84 77 68 43;;;47.46198,-2.4441;Loire-Atlantique
AU CHŒUR DES HALLES;Concert;;Les Halles;Place Paul Doumer;;53200;CHATEAU-GONTIER-SUR-MAYENNE;;;53062;47.8268517;-0.7065971;;02 43 09 30 90;;;47.8268517,-0.7065971;Mayenne
AU PIED DU MUR, L'ENCEINTE ROMAINE DU MANS;Exposition;;Musée JC-Boulard - Carré Plantagenêt;2 Rue Claude Blondeau;;72000;LE MANS;;;72181;48.00717;0.19862;;02 43 47 46 45;;;48.00717,0.19862;Sarthe
AUTOFICTION MUSICALE: MON PÈRE EST UNE CHANSON DE VARIÉTÉ;Concert;;;Centre Culturel Athanor;2 Avenue Anne de Bretagne;44350;GUERANDE;;;44069;47.33141;-2.42768;;02 40 24 73 73;;;47.33141,-2.42768;Loire-Atlantique
AUX PLUS ADULTES QUE NOUS;Théâtre;;;92 Avenue Jean Jaurès;;72500;MONTVAL-SUR-LOIR;;;72071;47.68871;0.41512;;02 43 79 47 97;;;47.68871,0.41512;Sarthe
BAGARRE;Théâtre;;;27 Rue d'Anjou;;53970;L'HUISSERIE;;;53119;48.0226633;-0.7698155;;02 52 46 01 25;;;48.0226633,-0.7698155;Mayenne
BALADE BIODIVERSITÉ - SORTIE LPO ANJOU;Sortie nature / environnement;;Parking de la piscine;;;49290;CHALONNES-SUR-LOIRE;;;49063;47.3516079;-0.7637704;;;241741081;;47.3516079,-0.7637704;Maine-et-Loire
