Nom de l'offre touristique;Catégorie de l'offre;Type de l'offre;Adresse1;Adresse partie 1 suite;Adresse2;Adresse3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une video;Widget tripadvisor;Equipements;Labels;Chaînes;Classement dans un label;CLassement pour le label Logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Nombre chambres;Nombre chambres familiales;Nombre chambres pour accès à mobilité réduite;Groupe accepté: oui / non;Langues parlées à l'accueil;Présence salle de réunion: oui / non;Ouverture 24h / 24h: oui / non;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarifs;Modes de paiement acceptés;localisation;departement
HÔTEL LE CHAI DE LA PALEINE;3 étoiles;Hôtel;;;10 Place Jules Raimbault;;49260;LE PUY-NOTRE-DAME;;49253;47.127556;-0.238008;;;02 41 38 28 25;;;https://www.paleine.fr/;https://www.youtube.com/watch?v=6CJ2FnH9BV4;"Tripadvisor||;Facebook||https://www.facebook.com/serrault.richard;Google+||https://maps.google.com/?cid=1932512571719561699;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g187199-d310512-Reviews-Logis_Le_Chai_de_la_Paleine-Saumur_Maine_et_Loire_Pays_de_la_Loire.html#REVIEWS";;"<div id=""TA_selfserveprop443"" class=""TA_selfserveprop"">;<ul id=""1VeyJVVZXy"" class=""TA_links 0KMJaaG"">;<li id=""KpfR5IQ4Np"" class=""zmWpdVrSk"">99 avis pour <a target=""_blank"" href=""http://www.tripadvisor.fr/Hotel_Review-g187199-d310512-Reviews-Logis_Le_Chai_de_la_Paleine-Saumur_Maine_et_Loire_Anjou_Loire_Valley_Pays_de_la_Loire.html"">Logis Le Chai de la Paleine</a> à Saumur</li>;</ul>;</div>;<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=443&amp;locationId=310512&amp;lang=fr&amp;rating=true&amp;nreviews=4&amp;writereviewlink=true&amp;popIdx=true&amp;iswide=true&amp;border=false""></script>";"Climatisation;Espace bien-être;Local vélo;Parking privé;WiFi";"Qualité Tourisme;Vignobles et découvertes";Logis;;Hôtel Cosy;;;;non;Vélo Francette - Thouet;12;1;1;;"Anglais;Espagnol;Français";oui;;;"01/01/2022||18/12/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi, Samedi, Dimanche : ouvert;;Fermé les dimanches de décembre à février.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;||https://resa.ot-saumur.fr/reserver/hotel/zspaleine.html||||02 41 40 20 60||resa@ot-saumur.fr;oui;"Chambre double||70,00||90,00||;Petit-déjeuner / pers||10,00||10,00||;Chambre single||60,00||70,00||;Suite||110,00||130,00||";"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.127556,-0.238008;Maine-et-Loire
HÔTEL LES 3 LIEUX;3 étoiles;Hôtel;;;10 port des Noues;;49130;LES PONTS-DE-CE;;49246;47.42336;-0.52737;;;02 14 03 03 53;;;http://www.les3lieux.com;;"Twitter||https://twitter.com/lieux3;Facebook||https://www.facebook.com/les3lieux";;;"Climatisation;Espace bien-être;Restaurant;WiFi";"Accueil Vélo;Clef Verte;La Loire à vélo;Qualité Tourisme;Vignobles et découvertes";Logis;;;"Déficience auditive;Déficience mentale;Déficience moteur;Déficience visuelle";;;oui;"EV6-La Loire à Vélo;Loire Layon Aubance;Vélo Francette - Loire à Vélo";28;;2;;"Anglais;Espagnol;Français;Italien";oui;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||08:30||18:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||08:00||21:00||||||09:00||22:00||||||09:00||16:00||||";;;;;"Cartes bancaires;Chèques Vacances;Espèces;Virement";47.42336,-0.52737;Maine-et-Loire
NORMANDY HÔTEL **;2 étoiles;Hôtel;;;120 avenue de Mazy;;44380;PORNICHET;;44132;47.26987;-2.34467;;;02 40 61 03 08;02 40 61 67 56;;http://www.normandyhotel.fr;;;;;WiFi;;;;;;oui;;;;21;;;;;;oui;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.26987,-2.34467;Loire-Atlantique
LE ROCHER DES MARAIS;2 étoiles;Hôtel;;;13 rue des Sablons;;44210;PORNIC;;44131;47.1128;-2.13465;;;02 40 63 27 00;;;http://www.lerocherdesmarais.fr;;;;;"Parking privé;WiFi";;;;;;non;;;;25;;;;"Anglais;Espagnol;Italien";;oui;;;;;;Chambre double||69,00||119,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.1128,-2.13465;Loire-Atlantique
LE CHEVAL BLANC;Non classé;Hôtel - Restaurant;;;2 rue de l'Hôtel de Ville;;44680;SAINTE-PAZANNE;;44186;47.10346;-1.81079;;;02 40 02 40 54;;;https://www.lechevalblanc-saintepazanne.fr/?fbclid=IwAR04yBpvOx1vf8XQBNW80bM8zUTIpVZp6xqNBvTmnbR3PV-dw-SVs5WbiN8;;;;;Restaurant;;;;;;;;;;10;;;;;;;;;;;;;;47.10346,-1.81079;Loire-Atlantique
HÔTEL LE BOSQUET;2 étoiles;Hôtel;;;2 rue Maurice Berne;;49130;LES PONTS-DE-CE;;49246;47.40998;-0.52481;;06 22 13 41 39;02 41 57 72 42;02 41 45 92 98;;http://www.le-bosquet.com;;Facebook||https://www.facebook.com/restaurantlebosquet;;;"Restaurant;WiFi";"Accueil Vélo;La Loire à vélo";;;;;;;non;"EV6-La Loire à Vélo;Loire Layon Aubance;Vélo Francette - Loire à Vélo";10;;;;"Anglais;Espagnol;Français";oui;;;"01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.40998,-0.52481;Maine-et-Loire
L'AUBERGE DES ROCHELETS;Non classé;Hôtel - Restaurant;;;20 Avenue Alexandre Bernard;;44250;SAINT-BREVIN-LES-PINS;;44154;47.21707;-2.16;;06 47 92 44 33;02 28 53 95 41;;;http://www.aubergedesrochelets.com/;;;;;"Restaurant;WiFi";;;;;;;;;;3;2;;;Anglais;;;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.21707,-2.16;Loire-Atlantique
HÔTEL PREMIÈRE CLASSE LES PONTS DE CÉ;1 étoile;Hôtel;;;22 rue Paul Pousset;ZA Moulin Marcille;49130;LES PONTS-DE-CE;;49246;47.43555;-0.50724;;;02 41 69 42 63;02 41 69 40 67;;https://angers-sud-les-ponts-de-ce.premiereclasse.com/fr-fr/;;;;;WiFi;;Première Classe;;;;oui;3€/nuit;non;;63;;3;;"Anglais;Espagnol;Français";;;;"01/01/2019||31/12/2019||||||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||08:00||11:00||17:00||21:00||08:00||11:00||17:00||21:00;01/01/2020||31/12/2020||||||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||08:00||11:00||17:00||21:00||08:00||11:00||17:00||21:00;01/01/2021||31/12/2021||||||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||06:30||11:00||17:00||21:00||08:00||11:00||17:00||21:00||08:00||11:00||17:00||21:00;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.43555,-0.50724;Maine-et-Loire
BEST WESTERN HÔTEL DE PARIS LAVAL;3 étoiles;Hôtel;;;22, rue de la Paix;;53000;LAVAL;;53130;48.070932;-0.767981;;;02.43.53.76.20;;;http://www.hotel-laval.fr;;Facebook||https://www.facebook.com/hoteldeparis;;;"Climatisation;Local vélo;WiFi";Accueil Vélo;Best Western;;;;oui;;non;Vélo Francette - Halage Mayenne;50;4;2;;"Anglais;Français";;oui;oui;;;;;;"Cartes bancaires;Chèques Vacances;Espèces";48.070932,-0.767981;Mayenne
HÔTEL DES LICES;2 étoiles;Hôtel;;;25 rue des lices;;49100;ANGERS;;49007;47.4682;-0.55451;;;02 41 87 44 10;02 41 36 33 45;;http://hoteldeslicesangers.fr;;;;;"Restaurant;WiFi";;;;;;oui;5€;non;;12;;;;"Anglais;Français";;;;"02/06/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.4682,-0.55451;Maine-et-Loire
PARK HÔTEL;3 étoiles;Hôtel;;;4 avenue Anatole Manceau;;49300;CHOLET;;49099;47.055;-0.87934;;;02 41 62 65 45;02 41 58 64 08;;http://www.park-hotel-cholet.fr;;Tripadvisor||;;"<div id=""TA_selfserveprop768"" class=""TA_selfserveprop"">;<ul id=""kFtpUraUqZm"" class=""TA_links Eh8olR6qu1G"">;<li id=""kdbJzN"" class=""vckzGu"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=768&amp;locationId=1224121&amp;lang=fr&amp;rating=true&amp;nreviews=2&amp;writereviewlink=true&amp;popIdx=false&amp;iswide=true&amp;border=false""></script>";"Climatisation;WiFi";Qualité Tourisme;;;;;;;non;;72;3;5;;"Allemand;Anglais;Espagnol;Français";oui;;;03/01/2022||23/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.055,-0.87934;Maine-et-Loire
SO HOTEL RIVE GAUCHE;2 étoiles;Hôtel - Restaurant;;;1 Place Kléber;;49400;SAUMUR;;49328;47.262574;-0.079156;;;02 41 38 91 64;;;http://sohotel.fr/;;"Tripadvisor||;Facebook||https://www.facebook.com/sohotel/;Google+||https://g.page/RiveGaucheSoCosyBar;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g187199-d3447026-Reviews-Sohotel_Rive_Gauche-Saumur_Maine_et_Loire_Pays_de_la_Loire.html";;;"Local vélo;Restaurant;WiFi";;;;;;oui;8€;non;;9;1;;;"Anglais;Français";oui;;;11/01/2022||17/12/2022||Lundi, Mardi, Mercredi, Jeudi, Vendredi, Samedi, Dimanche : 16h à 21h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Chambre double||64,00||84,00||;Petit-déjeuner / pers||9,50||||;Taxe de séjour / nuit / pers||0,90||||";"Cartes bancaires;Chèques Vacances;Espèces";47.262574,-0.079156;Maine-et-Loire
IBIS STYLES;3 étoiles;Hôtel;;;45 avenue d'Angers;;49300;CHOLET;;49099;47.07667;-0.83895;;;02 41 71 08 08;02 41 71 96 96;;http://www.ibis.com;;Tripadvisor||;;"<div id=""TA_selfserveprop533"" class=""TA_selfserveprop"">;<ul id=""8zvQ2S8o3"" class=""TA_links 3D98UdQb"">;<li id=""cNvSEIS5H"" class=""p80qlfjAmmT7"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=533&amp;locationId=1027240&amp;lang=fr&amp;rating=true&amp;nreviews=2&amp;writereviewlink=true&amp;popIdx=false&amp;iswide=true&amp;border=false""></script>";"Climatisation;Restaurant;WiFi";;"All Seasons;Ibis Style";;;;oui;6€;non;;60;3;3;;"Anglais;Français";oui;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.07667,-0.83895;Maine-et-Loire
HÔTEL MAUBREUIL SEMINAIRES;3 étoiles;Hôtel;;;12 allée de Maubreuil;;44470;CARQUEFOU;;44026;47.2971681;-1.4652962;;;02 28 09 11 00;;;;;;;;;;;;;;;;non;;105;;;;;;;;;;;;;;47.2971681,-1.4652962;Loire-Atlantique
