id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm;localisation;libelle_region;code_region
44001-C-001;;Salle Polyvalente;11 Rue de la Mairie. 44170 Abbaretz;ABBARETZ;44001;Parking;2019-08-29;true;224400028;-1.532282;47.553954;;;;;;;;47.553954,-1.532282;Pays de la Loire;52
44003-C-001;;Aire de covoiturage Zi L'Hermitage;30 Bois Clair. 44150 Ancenis;ANCENIS;44003;Aire de covoiturage;2019-08-29;true;224400028;-1.1729622;47.383009;;;;;;;;47.383009,-1.1729622;Pays de la Loire;52
44018-C-001;;Aire de covoiturage Les Ormeaux;Esplanade de l'Edit de Nantes;BOUAYE;44018;Aire de covoiturage;2019-08-29;true;224400028;-1.682448658;47.1558743;156;;;;;;;47.1558743,-1.682448658;Pays de la Loire;52
44018-C-002;;Aire de covoiturage Super U de Bouaye;Rue de Nantes;BOUAYE;44018;Aire de covoiturage;2019-08-29;true;224400028;-1.679815529;47.14354235;200;;;;;;;47.14354235,-1.679815529;Pays de la Loire;52
44020-C-004;;P+R Tramway Neustrie 1;Chemin de la Neustrie;BOUGUENAIS;44020;Parking relais;2019-08-29;true;224400028;-1.593096487;47.17545323;;;;;;;;47.17545323,-1.593096487;Pays de la Loire;52
44029-C-002;;Salle Municipale La Chapelaine;Rue du Stade. 44450 La Chapelle-Basse-Mer;DIVATTE SUR LOIRE;44029;Parking;2019-08-29;true;224400028;-1.334378;47.2693;;;;;;;;47.2693,-1.334378;Pays de la Loire;52
44033-C-002;;Le Drive Intermarché;La Sabliére. 44260 La Chapelle-Launay;LA CHAPELLE LAUNAY;44033;Supermarché;2019-08-29;true;224400028;-1.957905;47.362156;;;;;;;;47.362156,-1.957905;Pays de la Loire;52
44047-C-002;;Aire de covoiturage Le Paradis;VM 91;COUERON;44047;Aire de covoiturage;2019-08-29;true;224400028;-1.751592918;47.20583064;16;;;;;;;47.20583064,-1.751592918;Pays de la Loire;52
44067-C-001;;Aire de covoiturage de Guémené-Penfao;11 Rue de L Hétel de ville. 44290 Guémené-Penfao;GUEMENE PENFAO;44067;Aire de covoiturage;2019-08-29;true;224400028;-1.834441;47.627505;;;;;;;;47.627505,-1.834441;Pays de la Loire;52
44071-C-001;;Parc D'Activité La Brodiére;35 Route de la Chapelle-Heulin. 44115 Haute-Goulaine;HAUTE GOULAINE;44071;Parking;2019-08-29;true;224400028;-1.40206;47.178067;;;;;;;;47.178067,-1.40206;Pays de la Loire;52
44072-C-001;;Aire de covoiturage Le Rhodoir;7 La ville aux Maéons. 44410 Herbignac;HERBIGNAC;44072;Aire de covoiturage;2019-08-29;true;224400028;-2.284298;47.510969;;;;;;;;47.510969,-2.284298;Pays de la Loire;52
44072-C-003;;Hyper U;Boulevard de Briére (RD774). 44410 Herbignac;HERBIGNAC;44072;Supermarché;2019-08-29;true;224400028;-2.314274;47.449959;;;;;;;;47.449959,-2.314274;Pays de la Loire;52
44082-C-002;;Super U;103 Avenue des Fresnes. 44850 Ligné;LIGNE;44082;Supermarché;2019-08-29;true;224400028;-1.378258;47.411333;;;;;;;;47.411333,-1.378258;Pays de la Loire;52
44087-C-002;;Super U;6869 Boulevard des Prises. 44270 Machecoul;MACHECOUL ST MEME;44087;Supermarché;2019-08-29;true;224400028;-1.814933;46.998271;;;;;;;;46.998271,-1.814933;Pays de la Loire;52
44094-C-002;;Parking La Croix de Mauves;La Croix. 44470 Mauves-sur-Loire;MAUVES SUR LOIRE;44094;Parking;2019-08-29;true;224400028;-1.398171;47.30026;;;;;;;;47.30026,-1.398171;Pays de la Loire;52
44098-C-001;;Aire de covoiturage La Chinoise;La Chinoise. 44780 Missillac;MISSILLAC;44098;Aire de covoiturage;2019-08-29;true;224400028;-2.179842;47.477478;;;;;;;;47.477478,-2.179842;Pays de la Loire;52
44109-C-005;;Parking Graslin;Rue Scribe;NANTES;44109;Aire de covoiturage;2019-08-29;true;224400028;-1.562571823;47.21431021;;;;;;;;47.21431021,-1.562571823;Pays de la Loire;52
44109-C-008;;Port Autonome de Nantes Saint Nazaire;18 Quai Ernest Renaud;NANTES;44109;Aire de covoiturage;2019-08-29;true;224400028;-1.574711361;47.20551112;;;;;;;;47.20551112,-1.574711361;Pays de la Loire;52
44109-C-012;;P+R Busway Bourdonniéres;Rue des Bourdonniéres;NANTES;44109;Parking relais;2019-08-29;true;224400028;-1.521337484;47.18597421;;;;;;;;47.18597421,-1.521337484;Pays de la Loire;52
44109-C-017;;P+R Tram-Train Haluchére 2;14 Rue du Ranzai;NANTES;44109;Parking relais;2019-08-29;true;224400028;-1.524975202;47.25023006;;;;;;;;47.25023006,-1.524975202;Pays de la Loire;52
44109-C-021;;P+R Tramway Recteur Schmitt 1;Rue Recteur Schmitt;NANTES;44109;Parking relais;2019-08-29;true;224400028;-1.552903111;47.25173525;;;;;;;;47.25173525,-1.552903111;Pays de la Loire;52
44109-C-024;;Parking Aristide Briand;Place Aristide Briand;NANTES;44109;Parking;2019-08-29;true;224400028;-1.562936425;47.2170936;;;;;;;;47.2170936,-1.562936425;Pays de la Loire;52
44109-C-031;;Parking Chu 1;Quai de Tourville;NANTES;44109;Parking;2019-08-29;true;224400028;-1.557250241;47.20936197;;;;;;;;47.20936197,-1.557250241;Pays de la Loire;52
44127-C-001;;Salle Polyvalente;1 Rue des Tisserands. 44140 La Planche;LA PLANCHE;44127;Parking;2019-08-29;true;224400028;-1.436961;47.017131;;;;;;;;47.017131,-1.436961;Pays de la Loire;52
44129-C-002;;Le Relais de Beaulieu;Route de Beaulieu le Calvaire. 44160 Pontchéteau;PONTCHATEAU;44129;Parking;2019-08-29;true;224400028;-2.127099;47.450061;;;;;;;;47.450061,-2.127099;Pays de la Loire;52
44139-C-001;;Bibliothéque;28 Rue Grande Rue. 44750 Quilly;QUILLY;44139;Parking;2019-08-29;true;224400028;-1.951817;47.460975;;;;;;;;47.460975,-1.951817;Pays de la Loire;52
