age,1975_H,1999_H,2019_H,1975_F,1999_F,2019_F
0,400273,369458,347089,380893,352667,330880
1,426702,363034,352659,406549,344561,338073
2,437871,368315,360982,417350,350175,346072
3,441549,364436,370939,422282,347846,355458
4,428356,357864,381708,408459,341486,369626
5,424875,356493,390254,407099,340400,372543
6,424158,374193,399597,407552,356291,378966
7,422070,382375,400858,403327,363939,385142
8,432476,386566,411494,413188,367839,394486
9,438175,388582,409404,417243,372144,390194
10,447534,391032,411674,427683,373232,392537
11,443100,391208,407421,425370,374224,389521
12,431734,396800,414022,414505,379520,396677
13,437592,391333,405127,419515,373617,386621
14,432977,388563,404065,415243,371837,385368
15,437615,382937,403426,419370,366116,384188
16,429480,408459,405773,413637,389480,385162
17,431461,415437,413251,416235,395851,391448
18,428990,414388,416343,414548,397514,395666
19,426247,391024,395309,414782,376672,375286
20,428775,376420,385065,415717,366300,370927
21,422219,377524,372131,410436,368254,357581
22,434346,362973,370146,420332,357351,362301
23,431195,370955,360901,414964,367135,356005
24,451035,394555,347002,431145,392475,346277
25,454541,418372,345674,429552,416165,345575
26,460049,428882,362321,432019,427543,363459
27,460576,429947,366486,427717,430126,372324
28,439029,419161,373290,408173,419505,383355
29,334593,417157,374197,310150,419820,391141
30,333179,413566,379875,307430,417843,395872
31,330926,415922,381893,303968,419944,399849
32,311460,430520,387094,283320,434585,407992
33,282224,432333,387604,256813,436047,406130
34,297100,441018,385394,272759,447232,403783
35,314469,435571,380127,295199,443029,400179
36,314727,422642,405212,296153,429868,423799
37,315686,427300,409918,299030,435742,427819
38,322064,424182,415493,306390,433080,433421
39,320148,427444,393900,307266,436868,409982
40,332625,416828,387855,319932,427541,400285
41,328234,420265,392747,317651,430416,399454
42,342018,417520,378560,332938,427711,389825
43,341070,415009,391896,332924,426422,398442
44,349235,419001,413159,340214,427895,419802
45,331099,412264,435027,325576,419598,444733
46,333587,419729,445836,329717,425923,453714
47,326336,414704,443926,325289,419694,450509
48,326000,431678,435014,329355,433605,442478
49,323630,428157,427528,330117,429744,437448
50,310883,429321,420403,323388,427255,434367
51,310821,422649,418677,323320,421565,431582
52,310555,402329,427611,325912,401908,441391
53,316426,304855,428356,333854,304569,443353
54,324490,301776,430748,339842,303499,448656
55,194111,294251,424098,204681,295356,444809
56,170288,273928,408160,182298,275123,429696
57,148753,247415,408160,162121,250114,430734
58,138915,256202,403439,152482,262636,430410
59,171200,269327,398034,190867,282632,429394
60,248495,264827,388186,285352,280285,420715
61,251243,262261,384480,285728,281272,418514
62,250005,263305,379050,287821,285346,415501
63,229070,256824,371791,269233,284659,412354
64,235727,263450,370846,280280,295410,410242
65,226610,253057,361301,275035,289105,402421
66,222811,259305,365439,274265,301065,407626
67,209799,252609,356096,261898,299704,398247
68,204741,249527,366582,261076,302106,412349
69,196676,234350,356693,254801,287902,404851
70,185967,227585,354324,249531,286364,400690
71,176918,217382,343241,242121,279183,393058
72,170764,211247,320586,240207,278825,371293
73,158085,202213,236900,230524,274818,279240
74,139899,190377,228830,211203,267276,272775
75,127383,183057,219772,199872,261504,263648
76,110834,175062,199977,187620,256864,242996
77,98682,172358,173672,177733,259067,216640
78,86032,164177,175051,168190,252678,225878
79,66874,94794,178422,147948,150177,234807
80,60088,74425,168374,138956,124982,227972
81,53686,60644,157797,126967,106330,221619
82,44572,51643,150275,109923,94761,218414
83,40197,57977,136476,97406,110750,209883
84,32760,77817,129598,82972,157954,207254
85,28864,69019,114789,75246,144675,192418
86,23961,59688,106796,65220,132990,189784
87,18959,47125,93660,52538,111880,173457
88,14511,40428,81969,42105,102434,162312
89,11446,31921,65674,35268,87109,137295
90,8929,25300,54447,27722,73836,122543
91,6377,18923,44125,20326,59025,103879
92,4582,14308,33992,16049,48100,89816
93,3473,10642,26815,11733,37609,75353
94,2364,7689,20161,8413,28729,60164
95,1362,5200,14224,5055,21962,47710
96,1022,3622,9943,4010,16061,37262
97,698,2636,7100,2519,11611,27274
98,673,1584,4845,2002,7338,19380
99,307,700,1963,844,4469,8092
100,307,938,2825,842,6724,12120
